Label (Grouping),"Census Tract 1, Allegany County, Maryland!!Total!!Estimate","Census Tract 1, Allegany County, Maryland!!Total!!Margin of Error","Census Tract 1, Allegany County, Maryland!!Percent!!Estimate","Census Tract 1, Allegany County, Maryland!!Percent!!Margin of Error","Census Tract 1, Allegany County, Maryland!!Male!!Estimate","Census Tract 1, Allegany County, Maryland!!Male!!Margin of Error","Census Tract 1, Allegany County, Maryland!!Percent Male!!Estimate","Census Tract 1, Allegany County, Maryland!!Percent Male!!Margin of Error","Census Tract 1, Allegany County, Maryland!!Female!!Estimate","Census Tract 1, Allegany County, Maryland!!Female!!Margin of Error","Census Tract 1, Allegany County, Maryland!!Percent Female!!Estimate","Census Tract 1, Allegany County, Maryland!!Percent Female!!Margin of Error","Census Tract 2, Allegany County, Maryland!!Total!!Estimate","Census Tract 2, Allegany County, Maryland!!Total!!Margin of Error","Census Tract 2, Allegany County, Maryland!!Percent!!Estimate","Census Tract 2, Allegany County, Maryland!!Percent!!Margin of Error","Census Tract 2, Allegany County, Maryland!!Male!!Estimate","Census Tract 2, Allegany County, Maryland!!Male!!Margin of Error","Census Tract 2, Allegany County, Maryland!!Percent Male!!Estimate","Census Tract 2, Allegany County, Maryland!!Percent Male!!Margin of Error","Census Tract 2, Allegany County, Maryland!!Female!!Estimate","Census Tract 2, Allegany County, Maryland!!Female!!Margin of Error","Census Tract 2, Allegany County, Maryland!!Percent Female!!Estimate","Census Tract 2, Allegany County, Maryland!!Percent Female!!Margin of Error","Census Tract 5, Allegany County, Maryland!!Total!!Estimate","Census Tract 5, Allegany County, Maryland!!Total!!Margin of Error","Census Tract 5, Allegany County, Maryland!!Percent!!Estimate","Census Tract 5, Allegany County, Maryland!!Percent!!Margin of Error","Census Tract 5, Allegany County, Maryland!!Male!!Estimate","Census Tract 5, Allegany County, Maryland!!Male!!Margin of Error","Census Tract 5, Allegany County, Maryland!!Percent Male!!Estimate","Census Tract 5, Allegany County, Maryland!!Percent Male!!Margin of Error","Census Tract 5, Allegany County, Maryland!!Female!!Estimate","Census Tract 5, Allegany County, Maryland!!Female!!Margin of Error","Census Tract 5, Allegany County, Maryland!!Percent Female!!Estimate"
Total population,"3,462",±399,(X),(X),"1,965",±259,(X),(X),"1,497",±216,(X),(X),"4,245",±455,(X),(X),"2,821",±336,(X),(X),"1,424",±236,(X),(X),"2,241",±384,(X),(X),"1,067",±247,(X),(X),"1,174",±258,(X)
    AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Under 5 years,123,±79,3.60%,±2.2,76,±54,3.90%,±2.6,47,±40,3.10%,±2.6,97,±60,2.30%,±1.4,54,±35,1.90%,±1.3,43,±38,3.00%,±2.7,97,±68,4.30%,±2.7,15,±22,1.40%,±2.0,82,±71,7.00%
        5 to 9 years,130,±65,3.80%,±1.8,97,±53,4.90%,±2.6,33,±31,2.20%,±2.0,167,±58,3.90%,±1.3,75,±35,2.70%,±1.2,92,±40,6.50%,±2.6,106,±112,4.70%,±4.7,72,±103,6.70%,±8.8,34,±40,2.90%
        10 to 14 years,152,±83,4.40%,±2.3,63,±53,3.20%,±2.6,89,±54,5.90%,±3.4,177,±60,4.20%,±1.3,72,±45,2.60%,±1.6,105,±53,7.40%,±3.4,61,±62,2.70%,±2.7,20,±34,1.90%,±3.3,41,±52,3.50%
        15 to 19 years,346,±136,10.00%,±3.7,254,±110,12.90%,±5.2,92,±59,6.10%,±3.7,117,±55,2.80%,±1.3,90,±52,3.20%,±1.8,27,±33,1.90%,±2.3,401,±133,17.90%,±6.1,142,±69,13.30%,±6.8,259,±95,22.10%
        20 to 24 years,165,±107,4.80%,±3.0,78,±58,4.00%,±3.0,87,±65,5.80%,±4.2,271,±117,6.40%,±2.8,213,±92,7.60%,±3.1,58,±51,4.10%,±3.7,369,±119,16.50%,±5.4,178,±87,16.70%,±7.9,191,±87,16.30%
        25 to 29 years,140,±86,4.00%,±2.5,86,±77,4.40%,±3.7,54,±36,3.60%,±2.4,231,±89,5.40%,±2.0,163,±63,5.80%,±2.1,68,±64,4.80%,±4.4,92,±54,4.10%,±2.5,54,±49,5.10%,±4.8,38,±39,3.20%
        30 to 34 years,123,±72,3.60%,±2.1,55,±42,2.80%,±2.1,68,±40,4.50%,±2.9,390,±131,9.20%,±3.0,322,±122,11.40%,±4.2,68,±43,4.80%,±3.0,122,±97,5.40%,±3.8,104,±79,9.70%,±6.1,18,±28,1.50%
        35 to 39 years,173,±95,5.00%,±2.6,114,±74,5.80%,±3.7,59,±45,3.90%,±2.9,367,±90,8.60%,±2.0,306,±85,10.80%,±2.7,61,±34,4.30%,±2.4,122,±151,5.40%,±6.6,26,±34,2.40%,±3.1,96,±157,8.20%
